n_epi,total_reward,v_epi_mean,cn_epi,sn_epi
10,12.79035677286507,5.779032915940496,0.2,0.0
20,11.396365898076892,10.125048902142149,0.6,0.1
30,21.222328350383062,9.415677166808534,0.2,0.4
40,28.358119341002396,11.882525306935184,0.2,0.7
50,27.9726719379157,13.387762475748314,0.3,0.7
60,31.695462625355127,13.294615787168564,0.2,0.8
70,25.644801067343963,12.829237376443354,0.3,0.7
80,7.3409793589305865,13.411655199405883,0.8,0.2
90,7.640856136083601,13.578253408935336,0.8,0.2
100,23.972631684617998,13.4885965352575,0.4,0.6
